details;informations;name;price;promotion;sizes;sku;tags
"""Sapatênis Sapato Casual Com Relógio JUILLI Com Cadarço Masculino 01L Branco Com CadarçoSolado coladoFabricante: JUILLIConfeccionado em material sintetico e têxtil3 Meses de Garantia contra defeito de Fabricação Descrição Relógio: Relógio de alta qualidadeTipo de Item: relógios de Pulso de QuartzoLargura de pulseira: 20mmComprimento da pulseira: 23 cmNúmero modelo: 271Tipo de Material banda: Material SinteticoDiâmetro Dial: 40mmSexo: relógio masculinoEstilo: Moda e CasualTipo de fecho: FivelaEspessura Da caixa: 8mmMovimento: movimento de QuartzoResistência À água: 30ATM resistente a águaDial Tipo de Material Janela: Vidro Produto enviado com nota fiscal! LBM CALÇADOS""";{'Modelo': '01 LBM', 'Material Externo': 'Têxtil|Couro sintético', 'Material externo da sola': 'Borracha', 'Largura do Sapato': 'regular', 'Cor': 'Branco', 'Formato do sapato': 'Redondo', 'Garantia do Fornecedor': '3 Meses', 'Tipo de frete:': 'Marketplace'};Sapatênis Sapato Casual Com Relógio Juilli Com Cadarço 01L Branco;109.99;12;[{'size': 41, 'available_quantity': 15}, {'size': 39, 'available_quantity': 14}, {'size': 37, 'available_quantity': 10}];JU686SHM20GZN;['Juilli', 'Sapatênis Juilli', 'Branco', 'Sapatênis']
Slip On Santa Lolla Suede Bege Tipo de Produto: Slip OnOcasião/Estilo: CasualMaterial Externo: TêxtilMaterial Interno: SintéticoMaterial da Sola: Sintético;{'Modelo': 'Santa Lolla 01AC.11E4.0048.0157', 'Cor': 'Bege', 'Tipo de frete:': 'Leve'};Slip On Santa Lolla Suede Bege;99.90;25;[{'size': 38, 'available_quantity': 12}, {'size': 34, 'available_quantity': 13}, {'size': 42, 'available_quantity': 10}];SA232SHF27GEI;['Santa Lolla', 'Tênis Santa Lolla', 'Bege', 'Tênis']
"Bota Chelsea Colcci Tiras PretaTipo de Produto: BotaTipo de Salto: QuadradoAltura do Salto: 3 cmCano: BaixoBico: RedondoTamanho: 37Ocasião/Estilo: CasualMedidas da peça: Cano 17x26cm (AxL); Salto 3 cm.Material: Plástico InjetadoMaterial Interno: Plástico InjetadoMaterial da Sola: Plástico InjetadoCaracterÍsticas Especiais:  Modelo galocha.";{'Modelo': 'Colcci PEONY RAIN', 'Material Externo': 'Sintético', 'Material Interno': 'Sintético', 'Material externo da sola': 'Borracha', 'Cor': 'Preto', 'Exata altura do salto em cm': '3.000', 'Tipo de frete:': 'Leve'};Bota Chelsea Colcci Tiras Preto;319.90;38;[{'size': 41, 'available_quantity': 3}, {'size': 39, 'available_quantity': 8}, {'size': 38, 'available_quantity': 8}];CO515SHF35UPK;['Colcci', 'Bota Cano Curto Colcci', 'Preto', 'Bota Cano Curto']
"Bota Chelsea Colcci Gorgurão PretaTipo de Produto: BotaTipo de Salto: QuadradoAltura do Salto: 3 cmCano: BaixoBico: RedondoTamanho: 37Ocasião/Estilo: CasualMedidas da peça: Cano 17x26cm (AxL); Salto 3 cm.Material: Plástico InjetadoMaterial Interno: Plástico InjetadoMaterial da Sola: Plástico InjetadoCaracterísticas Especiais:  Modelo galocha.";{'Modelo': 'Colcci LACEY RAIN', 'Material Externo': 'Sintético', 'Material Interno': 'Sintético', 'Material externo da sola': 'Borracha', 'Cor': 'Preto', 'Exata altura do salto em cm': '3.000', 'Tipo de frete:': 'Leve'};Bota Chelsea Colcci Gorgurão Preto;319.90;44;[{'size': 40, 'available_quantity': 5}, {'size': 40, 'available_quantity': 15}, {'size': 39, 'available_quantity': 13}];CO515SHF38UPH;['Colcci', 'Bota Cano Curto Colcci', 'Preto', 'Bota Cano Curto']
Salto: 3,0 cmCor: Sempre seguir a cor original da foto produto. Material: Multimatérias.Peso: 300g.Solado: Expandido.Palmilha: Macia com aplique da logo.Numeração: será enviada pelo critério de escolha.Caixa embalagem: cada par vai a sua caixa individual.*****************************TABELA DE MEDIDA ****************************Numeração em cm34 ----------------------------- 22,835 ----------------------------- 23,536 ----------------------------- 24,037 ----------------------------- 24,838 ----------------------------- 25,539 ----------------------------- 26,0;{'Material Externo': 'Sintético', 'Material Interno': 'Têxtil', 'Material externo da sola': 'PVC Expandido', 'Largura do Sapato': 'regular', 'Tipo de Pisada': 'Neutra', 'Cor': 'Branco', 'Garantia do Fornecedor': '1 Mês', 'Tipo de frete:': 'Marketplace'};Tênis Chiquiteira Casual Sola Faixa BN Branco STC;54.99;34;[{'size': 36, 'available_quantity': 12}, {'size': 40, 'available_quantity': 8}, {'size': 36, 'available_quantity': 10}];CH358SHF03MQE;['Chiquiteira', 'Tênis Chiquiteira', 'Branco', 'Tênis']
Slip On Santa Lolla Suede PretoTipo de Produto: Slip OnOcasião/Estilo: CasualMaterial: SintéticoMaterial Interno: SintéticoMaterial da Sola: Sintético;{'Modelo': 'Santa Lolla 01AC.11E4.0048.0001', 'Cor': 'Preto', 'Tipo de frete:': 'Leve'};Slip On Santa Lolla Suede Preto;99.90;12;[{'size': 34, 'available_quantity': 14}, {'size': 39, 'available_quantity': 2}, {'size': 39, 'available_quantity': 4}];SA232SHF29GEG;['Santa Lolla', 'Tênis Santa Lolla', 'Preto', 'Tênis']
A linha feminina Ousy moda é feita para você que deseja receber um produto confortável, com qualidade, estilo e preço baixo.O conforto por conta de sua fabricação que visa sempre que a cliente não calce qualquer sapato mas tenha em seus pés um modelo com a certeza que eles estarão confortáveis. Sendo assim tudo é revisado e verificado para atestar a qualidade com o selo Ousy Shoes.E ao final procuramos sempre oferecer o nosso melhor produto ao nosso melhor cliente que é você !  Medidas do Solado34 24,5 cm35 25 cm36 26 cm37 26,5 cm38 27,5 cm39 28 cm40 28,5 cm;{'Material Externo': 'Couro sintético', 'Material Interno': 'Têxtil', 'Material externo da sola': 'Borracha', 'Largura do Sapato': 'estreito', 'Tipo de Pisada': 'Neutra', 'Cor': 'CAFÉ\xa0', 'Tipo de salto': 'Quadrado', 'Formato do sapato': 'Redondo', 'Garantia do Fornecedor': '3 Meses', 'Tipo de frete:': 'Marketplace'};Kit Bota Coturno Ousy Shoes Montaria Coturno Café;188.69;23;[{'size': 37, 'available_quantity': 5}, {'size': 38, 'available_quantity': 13}, {'size': 37, 'available_quantity': 2}];OU133SHF64CIX;['OUSY SHOES', 'Bota Montaria e Cano Longo OUSY SHOES', 'Marrom', 'Bota Montaria e Cano Longo']
Bota Coturno Dakota Matelassê PretaTipo de Produto: BotaTipo de Salto: GrossoCano: BaixoBico: RedondoFechamento: CadarçoOcasião/Estilo: CasualMedidas da peça: 14x13cm (AxL)Material Externo: SintéticoMaterial Interno: TêxtilMaterial da Sola: Sintético;{'Modelo': 'Dakota G0723', 'Cor': 'Preto', 'Tipo de frete:': 'Leve'};Bota Coturno Dakota Matelassê Preta;164.89;49;[{'size': 36, 'available_quantity': 10}, {'size': 35, 'available_quantity': 12}, {'size': 38, 'available_quantity': 1}];DA511SHF11TFS;['Dakota', 'Bota Cano Curto Dakota', 'Preto', 'Bota Cano Curto']
  Salto – 4,0 cm  Cor – Sempre seguir a cor original da foto produto.   Material – Multimatérias.  Peso -- 300g  Solado – Expandido.  Palmilha – Macia com aplique da logo.  Numeração: será enviada pelo critério de escolha  Caixa embalagem: cada par vai a sua caixa individual.*****************************TABELA DE MEDIDA ****************************Numeração em cm34 ----------------------------- 22,835 ----------------------------- 23,536 ----------------------------- 24,037 ----------------------------- 24,838 ----------------------------- 25,539 ----------------------------- 26,0;{'Material Externo': 'Sintético', 'Material Interno': 'Têxtil', 'Material externo da sola': 'PVC Expandido', 'Largura do Sapato': 'regular', 'Cor': 'Caramelo', 'Formato do sapato': 'Aberto', 'Garantia do Fornecedor': '1 Mês', 'Tipo de frete:': 'Marketplace'};Sandália Chiquiteira Anabela Bico Fechado Nó Caramelo;34.99;7;[{'size': 41, 'available_quantity': 7}, {'size': 38, 'available_quantity': 4}, {'size': 34, 'available_quantity': 8}];CH358SHF88IEH;['Chiquiteira', 'Sandália Anabela Chiquiteira', 'Caramelo', 'Sandália Anabela']
  Salto – 7 cm  Cor – Sempre seguir a cor original da foto produto.   Material – Multimatérias.  Peso -- 300g  Solado – Expandido.  Palmilha – Macia com aplique da logo.  Numeração: será enviada pelo critério de escolha  Caixa embalagem: cada par vai a sua caixa individual.**********TABELA DE MEDIDA *********Numeração em cm 33----------------------------- 22,5 a 23,034 ----------------------------- 23,0 a 23,535 ----------------------------- 23,5 a 24,036 ----------------------------- 24,5 a 25,037 ------------------------------25,0 a 25,538 ----------------------------- 25,0 a 26,0ALTURA DO CANO33------------------------------11,0 cm34------------------------------11,0 cm35------------------------------11,5 cm36------------------------------11,5 cm37------------------------------12,0 cm38------------------------------12,0 cmCIRCUNFERÊNCIA DO CANO33------------------------------28,0 cm34------------------------------28,0 cm35------------------------------28,0 cm36------------------------------28,0 cm37------------------------------29,0 cm38------------------------------29,0 cm;{'Material Externo': 'Sintético', 'Material Interno': 'Têxtil', 'Material externo da sola': 'PVC Expandido', 'Largura do Sapato': 'regular', 'Cor': 'Preto', 'Formato do sapato': 'Aberto', 'Garantia do Fornecedor': '1 Mês', 'Tipo de frete:': 'Marketplace'};Coturno Chiquiteira Cano Alto Tratorada Verniz Preto JUL;63.89;17;[{'size': 40, 'available_quantity': 14}, {'size': 36, 'available_quantity': 5}, {'size': 42, 'available_quantity': 7}];CH358SHF99OUA;['Chiquiteira', 'Coturno e Biker Chiquiteira', 'Preto', 'Coturno e Biker']
